(587,233,220)
(0,0,0),(120,34,26)
(0,0,26),(120,34,52)
(0,0,52),(120,34,78)
(0,0,78),(120,34,104)
(0,0,104),(120,34,130)
(0,0,130),(120,34,156)
(0,0,156),(120,34,182)
(0,0,182),(120,34,208)
(0,34,0),(120,133,73)
(0,133,0),(120,232,73)
(0,34,73),(120,133,146)
(0,133,73),(120,232,146)
(0,34,146),(120,133,219)
(0,133,146),(120,232,219)
(120,0,0),(145,110,43)
(120,110,0),(145,220,43)
(120,0,43),(145,110,86)
(120,110,43),(145,220,86)
(120,0,86),(145,110,129)
(120,110,86),(145,220,129)
(120,0,129),(145,110,172)
(120,110,129),(145,220,172)
(120,0,172),(145,110,215)
(120,110,172),(145,220,215)
(150,0,0),(184,120,26)
(150,0,26),(184,120,52)
(150,0,52),(184,120,78)
(150,0,78),(184,120,104)
(150,0,104),(184,120,130)
(150,0,130),(184,120,156)
(150,0,156),(184,120,182)
(150,0,182),(184,120,208)
(184,0,0),(283,120,73)
(184,0,73),(283,120,146)
(184,0,146),(283,120,219)
(283,0,0),(359,60,95)
(283,60,0),(359,120,95)
(283,0,95),(359,60,190)
(283,60,95),(359,120,190)
(283,0,190),(359,108,220)
(359,0,0),(435,60,95)
(435,0,0),(511,60,95)
(359,0,95),(435,60,190)
(435,0,95),(511,60,190)
(359,60,0),(435,120,95)
(435,60,0),(511,120,95)
(359,60,95),(435,120,190)
(435,60,95),(511,120,190)
(359,0,190),(435,108,220)
(435,0,190),(511,108,220)
(511,0,0),(587,60,95)
(511,60,0),(587,120,95)
(511,0,95),(587,60,190)
(511,60,95),(587,120,190)
(511,0,190),(587,108,220)
(207,125,0),(283,233,30)
(283,125,0),(359,233,30)
(207,125,30),(283,233,60)
(283,125,30),(359,233,60)
(207,125,60),(283,233,90)
(283,125,60),(359,233,90)
(359,125,0),(435,233,30)
(359,125,30),(435,233,60)
(359,125,60),(435,233,90)
(435,125,0),(511,233,30)
(511,125,0),(587,233,30)
(435,125,30),(511,233,60)
(511,125,30),(587,233,60)
(435,125,60),(511,233,90)
(511,125,60),(587,233,90)
(145,138,0),(205,233,76)
(145,138,76),(205,233,152)
(315,120,90),(383,186,121)
(383,120,90),(451,186,121)
(315,120,121),(383,186,152)
(383,120,121),(451,186,152)
(315,120,152),(383,186,183)
(383,120,152),(451,186,183)
(315,120,183),(383,186,214)
(383,120,183),(451,186,214)
(451,120,90),(519,186,121)
(519,120,90),(587,186,121)
(451,120,121),(519,186,152)
(519,120,121),(587,186,152)
(451,120,152),(519,186,183)
(519,120,152),(587,186,183)
(451,120,183),(519,186,214)
(519,120,183),(587,186,214)
(315,186,90),(349,233,151)
(349,186,90),(383,233,151)
(315,186,151),(349,233,212)
(349,186,151),(383,233,212)
(383,186,90),(417,233,151)
(417,186,90),(451,233,151)
(383,186,151),(417,233,212)
(417,186,151),(451,233,212)
(451,186,90),(485,233,151)
(485,186,90),(519,233,151)
(451,186,151),(485,233,212)
(485,186,151),(519,233,212)
(519,186,90),(553,233,151)
(553,186,90),(587,233,151)
(519,186,151),(553,233,212)
(553,186,151),(587,233,212)
(205,124,90),(233,205,123)
(233,124,90),(261,205,123)
(205,124,123),(233,205,156)
(233,124,123),(261,205,156)
(261,124,90),(289,205,123)
(261,124,123),(289,205,156)
(205,205,90),(286,233,123)
(205,205,123),(286,233,156)
(290,123,90),(315,233,133)
(290,123,133),(315,233,176)
(290,123,176),(315,233,219)
(145,123,152),(170,233,195)
(170,123,152),(195,233,195)
(195,152,156),(287,233,211)
(195,124,156),(276,152,189)
